location_name,permit_number,start_time,stop_time,duration_minutes
AKELEY (EX STW) PS,AnW0003,2021-01-25T20:45:00,2021-01-25T21:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T21:00:00,2021-01-25T21:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T21:15:00,2021-01-25T21:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T21:45:00,2021-01-25T22:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T22:00:00,2021-01-25T22:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T22:30:00,2021-01-25T22:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T23:00:00,2021-01-25T23:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-25T23:15:00,2021-01-25T23:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T08:30:00,2021-01-26T09:00:00,30.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T09:00:00,2021-01-26T09:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T09:15:00,2021-01-26T09:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T10:00:00,2021-01-26T10:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T11:30:00,2021-01-26T11:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T12:00:00,2021-01-26T12:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T12:30:00,2021-01-26T12:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T12:45:00,2021-01-26T13:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T13:15:00,2021-01-26T13:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T13:30:00,2021-01-26T13:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T13:45:00,2021-01-26T14:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T14:00:00,2021-01-26T14:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T14:30:00,2021-01-26T14:45:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T14:45:00,2021-01-26T15:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T15:00:00,2021-01-26T15:15:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T15:45:00,2021-01-26T16:00:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T16:15:00,2021-01-26T16:30:00,15.0
AKELEY (EX STW) PS,AnW0003,2021-01-26T18:00:00,2021-01-26T18:15:00,15.0
